,0
0,-1966.2
1,-2126.4
2,-1941.2
3,-1818.0
4,-1784.6000000000001
5,-1986.0
6,-1957.2
7,-1968.0
8,-1982.4
9,-1978.8000000000002
10,-1914.0
11,-1928.4
12,-1753.8000000000002
13,-1726.0
14,-1771.4
15,-1905.0
16,-2083.2000000000003
17,-1680.4
18,-1987.8000000000002
19,-1911.6000000000001
20,-1946.4
21,-1802.4
22,-1793.4
23,-1998.6000000000001
24,-1432.4
25,-1944.6000000000001
26,-1259.6000000000001
27,-1827.6000000000001
28,-1910.4
29,-1836.6000000000001
30,-1865.4
31,-1870.8000000000002
32,-1460.2
33,-1946.4
34,-1906.8000000000002
35,-1872.6000000000001
36,-1501.8000000000002
37,-1489.0
38,-1969.8000000000002
39,-1383.2
40,-1818.6000000000001
41,-1879.8000000000002
42,-1355.8000000000002
43,-1806.0
44,-1673.8000000000002
45,-1432.8000000000002
46,-1874.4
47,-1674.6000000000001
48,-1732.2
49,-1501.8000000000002
50,-1206.4
51,-1824.0
52,-1908.6000000000001
53,-1299.2
54,-1899.6000000000001
55,-1924.8000000000002
56,-1905.2
57,-1887.0
58,-1985.8000000000002
59,-1551.0
60,-1590.0
61,-1823.4
62,-1504.2
63,-1561.6000000000001
64,-1684.0
65,-1225.2
66,-1456.4
67,-1589.0
68,-1960.8000000000002
69,-1753.8000000000002
70,-1362.0
71,-1807.8000000000002
72,-1591.6000000000001
73,-1864.4
74,-1741.2
75,-1133.4
76,-1184.2
77,-1489.0
78,-1613.0
79,-1894.2
80,-1950.0
81,-2115.6
82,-1778.8000000000002
83,-2218.2000000000003
84,-1818.2
85,-1526.8000000000002
86,-1699.2
87,-1766.4
88,-1819.2
89,-1894.2
90,-2257.8
91,-1828.8000000000002
92,-1663.8000000000002
93,-1553.2
94,-1148.2
95,-1091.6000000000001
96,-1853.8000000000002
97,-1580.0
98,-1126.0
99,-1730.4
100,-1217.4
101,-1713.4
102,-1527.6000000000001
103,-1279.6000000000001
104,-1743.0
105,-1093.0
106,-1869.4
107,-1470.6000000000001
108,-1547.2
109,-1888.8000000000002
110,-1611.8000000000002
111,-1482.4
112,-1468.4
113,-1452.0
114,-1888.8000000000002
115,-1396.8000000000002
116,-1273.4
117,-1362.2
118,-1068.2
119,-1575.8000000000002
120,-1597.2
121,-1729.2
122,-1464.6000000000001
123,-1589.6000000000001
124,-1068.0
125,-1252.4
126,-1819.6000000000001
127,-1801.8000000000002
128,-1594.2
129,-1193.6000000000001
130,-1296.0
131,-1297.4
132,-1466.8000000000002
133,-1584.2
134,-1275.6000000000001
135,-1367.8000000000002
136,-1239.6000000000001
137,-474.6
138,-1692.8000000000002
139,-924.6
140,-1274.4
141,-1538.8000000000002
142,-1024.8
143,-1324.4
144,-1021.0
145,-596.0
146,-1349.0
147,-1509.8000000000002
148,-1543.2
149,-906.6
150,-1687.2
151,-553.6
152,-1353.2
153,-1005.4000000000001
154,-1093.4
155,-794.2
156,-1084.2
157,-1030.2
158,-1065.4
159,-860.2
160,-668.0
161,-962.2
162,-1145.0
163,-566.8000000000001
164,-1097.8
165,-1031.4
166,-1231.0
167,-842.0
168,-1132.4
169,-537.0
170,-876.4000000000001
171,-1195.6000000000001
172,-833.0
173,-658.0
174,-478.8
175,-581.6
176,-884.4000000000001
177,-482.0
178,-482.0
179,-624.2
180,-583.0
181,-379.6
182,-656.0
183,-526.6
184,-464.6
185,-925.2
186,-548.8000000000001
187,-342.8
188,-1131.4
189,-804.2
190,-932.2
191,-872.8000000000001
192,-519.6
193,-796.2
194,-1128.0
195,-734.0
196,-652.2
197,-768.6
198,-496.8
199,-790.0
200,-875.8000000000001
201,-472.40000000000003
202,-475.6
203,-898.0
204,-731.6
205,-491.8
206,-618.2
207,-631.8000000000001
208,-567.8000000000001
209,-804.2
210,-618.4000000000001
211,-170.8
212,-528.2
213,-402.40000000000003
214,-473.8
215,-523.4
216,-531.4
217,-587.2
218,-375.8
219,-389.0
220,-454.40000000000003
221,-587.2
222,-526.2
223,-700.4000000000001
224,-299.2
225,-220.0
226,-514.0
227,-398.6
228,-273.8
229,-319.0
230,-574.8000000000001
231,-453.6
232,-423.6
233,-603.2
234,-521.2
235,-492.40000000000003
236,-450.8
237,-616.2
238,-265.0
239,-751.0
240,-481.40000000000003
241,-330.0
242,-488.40000000000003
243,-316.6
244,-493.8
245,-475.6
246,-340.8
247,-371.40000000000003
248,-490.40000000000003
249,-252.20000000000002
250,-443.20000000000005
251,-387.0
252,-547.2
253,-482.20000000000005
254,-414.40000000000003
255,-287.0
256,-464.0
257,-355.0
258,-321.20000000000005
259,-326.40000000000003
260,-502.40000000000003
261,-195.60000000000002
262,-497.0
263,-138.6
264,-364.0
