,0
0,-1674.6000000000001
1,-1980.6000000000001
2,-1973.4
3,-1704.8000000000002
4,-2005.8000000000002
5,-1736.4
6,-1962.6000000000001
7,-2074.2000000000003
8,-2103.0
9,-2025.6000000000001
10,-2054.4
11,-2088.6
12,-1689.4
13,-2126.4
14,-1809.8000000000002
15,-1920.8000000000002
16,-2185.8
17,-2117.2000000000003
18,-2173.2000000000003
19,-1811.8000000000002
20,-2098.4
21,-2319.0
22,-2102.6
23,-2355.8
24,-1986.2
25,-2006.8000000000002
26,-1953.8000000000002
27,-2184.0
28,-2181.0
29,-1862.2
30,-1976.4
31,-1994.8000000000002
32,-1960.6000000000001
33,-1955.2
34,-2118.0
35,-1913.4
36,-2241.6
37,-2302.6
38,-2070.8
39,-2104.8
40,-1961.8000000000002
41,-1893.6000000000001
42,-1784.2
43,-2133.6
44,-1942.2
45,-2207.6
46,-1982.2
47,-1959.8000000000002
48,-1865.0
49,-2154.2000000000003
50,-2236.2000000000003
51,-2120.8
52,-2122.8
53,-1671.4
54,-1728.8000000000002
55,-2043.6000000000001
56,-1406.0
57,-1850.2
58,-1770.0
59,-2007.6000000000001
60,-1926.6000000000001
61,-1575.8000000000002
62,-1950.0
63,-2013.0
64,-1829.2
65,-1470.4
66,-1987.8000000000002
67,-1617.0
68,-1340.2
69,-1752.4
70,-1564.2
71,-1870.8000000000002
72,-1731.2
73,-1500.2
74,-1416.2
75,-1541.2
76,-1625.4
77,-1676.4
78,-1578.0
79,-1324.0
80,-1708.0
81,-1818.0
82,-1504.6000000000001
83,-1626.0
84,-1472.0
85,-1459.2
86,-1587.4
87,-1672.6000000000001
88,-1770.0
89,-1185.2
90,-1324.0
91,-1579.8000000000002
92,-1181.6000000000001
93,-1148.0
94,-1798.8000000000002
95,-1345.6000000000001
96,-1759.2
97,-1564.0
98,-1537.4
99,-1558.4
100,-1607.6000000000001
101,-1564.0
102,-1445.4
103,-1431.6000000000001
104,-1770.0
105,-1530.2
106,-1753.8000000000002
107,-1219.8
108,-1419.6000000000001
109,-1000.2
110,-1351.8000000000002
111,-1693.8000000000002
112,-1349.2
113,-1642.2
114,-1775.2
115,-1025.8
116,-1705.2
117,-1168.6000000000001
118,-1663.8000000000002
119,-1649.4
120,-1043.8
121,-1210.2
122,-1312.2
123,-1170.2
124,-1280.2
125,-1335.2
126,-760.4000000000001
127,-1383.8000000000002
128,-1239.2
129,-1459.8000000000002
130,-1257.6000000000001
131,-1120.6000000000001
132,-1550.4
133,-1016.4000000000001
134,-1407.0
135,-1488.6000000000001
136,-906.8000000000001
137,-1537.6000000000001
138,-1080.4
139,-699.8000000000001
140,-1198.4
141,-1281.4
142,-1334.8000000000002
143,-723.4000000000001
144,-888.8000000000001
145,-1157.8
146,-919.8000000000001
147,-903.8000000000001
148,-1402.2
149,-806.6
150,-948.0
151,-441.8
152,-756.4000000000001
153,-1143.6000000000001
154,-940.2
155,-943.2
156,-601.6
157,-930.0
158,-838.0
159,-987.0
160,-745.8000000000001
161,-1111.8
162,-638.8000000000001
163,-961.8000000000001
164,-848.6
165,-480.8
166,-979.6
167,-691.8000000000001
168,-663.4000000000001
169,-435.20000000000005
170,-981.8000000000001
171,-454.6
172,-950.8000000000001
173,-713.4000000000001
174,-505.20000000000005
175,-638.8000000000001
176,-336.40000000000003
177,-840.6
